"concept","conceptLabel_en","conceptLabel_de","conceptLabel_fr","conceptDef_en","conceptDef_de","conceptDef_fr","altLabel_en","altLabel_de","altLabel_fr","includesLabel_en","includesLabel_de","includesLabel_fr","isUseOfLabel_en","isUseOfLabel_de","isUseOfLabel_fr","producesLabel_en","producesLabel_de","producesLabel_fr","isProducedByLabel_en","isProducedByLabel_de","isProducedByLabel_fr"
"http://aims.fao.org/aos/agrovoc/c_822","bark products","Rindenprodukt","produit à base d'écorce",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_855","bedding plants","Beetpflanze","plante de parterre",,,,,,"plante à massif",,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_e25876d3","biochar",,"biochar","By-product of the pyrolysis of residual biomass. Biochar is a stable carbonate derivative produced from plant and/or animal biomass for application in agriculture.",,"Le biocharbon (biocarbone) est un sous-produit de la pyrolyse de la biomasse résiduelle. Le biocharbon est un dérivé de carbonate stable produit à partir de biomasse végétale et/ou animale pour une application dans l’agriculture.",,,,,,,"soil amendments","Bodenverbesserungszusatz","amendement du sol",,,,,,
"http://aims.fao.org/aos/agrovoc/c_26762","blockboard","Tischlerplatte","panneau latte",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_24823","bonsai","Bonsai","Bonsaï","Bonsai is the Japanese art of growing and shaping miniature trees in containers, with a long documented history of influences and native Japanese development over a thousand years, and with unique aesthetics, cultural history, and terminology derived from its evolution in Japan. The loanword ""bonsai"" has become an umbrella term in English, attached to many forms of diminutive potted plants.",,,,,,"dwarfs","Zwergmutante","nain",,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_28041","branchwood","Astholz","bois de houppe","Wood growing laterally from the stem; can be subdivided into solid branch wood and branch brushwood.","Holz, das als seitliche Verzweigungen des Schaftes gebildet wird; unterteilbar in Astderbholz und Astreisig.","Bois formé des ramifications latérales de la tige, qui se classe en bois fort des branches et menu bois des branches.",,,"bois des branches",,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_1250","canes and rattans","Rohr und Rattan","canne et rotin",,,,,,,"Arundo","Arundo","Arundo","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_1250","canes and rattans","Rohr und Rattan","canne et rotin",,,,,,,"Calamus (Palmae)","Calamus (Palmae)","Calamus (Palmae)","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_1250","canes and rattans","Rohr und Rattan","canne et rotin",,,,,,,"Daemonorops","Daemonorops","Daemonorops","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_1503","charcoal","Holzkohle","charbon de bois","A material produced by burning wood in minimal oxygen to remove water and other substances. It burns at a higher temperature than wood and is commonly used for cooking.",,,,,,"activated carbon","Aktivkohle","charbon actif","fuels","Brennstoff","combustible","fuelwood","Brennholz","bois de chauffage","fuelwood","Brennholz","bois de chauffage"
